window_size,accuracy,top5_accuracy,balanced_accuracy,dataset_creation_time_sec,train_time_sec
0,87.68545994065282,98.52818991097922,74.68797468465186,19.28,118.9
1,94.64094955489614,99.56676557863501,86.63149401863033,25.96,180.36
2,94.54005934718101,99.52522255192878,84.412943321612,29.59,245.51
3,94.29080118694363,99.54896142433235,82.52741924845421,52.98,298.44
4,93.09198813056379,99.35311572700297,80.1637967315965,100.52,343.96
5,92.6053412462908,99.31157270029674,80.24380017658346,93.65,427.15
6,90.76557863501483,98.92581602373888,76.807845476169,126.82,580.35
7,90.7893175074184,98.96142433234421,78.68557375465366,146.08,868.68
8,87.98219584569733,98.29080118694363,69.3389688516281,150.89,1897.31
9,86.92581602373888,98.0,66.97875772478073,159.1,1808.85
10,86.16023738872404,97.28783382789318,67.517850920154,163.06,3251.74
